DATA CAPTURED Sat Oct 21 02:24:49 2017
Time (ms),P1(0-1024),P2(0-1024),P3(0-1024),P4(0-1024),T1,T2
728096,294,296,296,292,0,0
728301,295,296,296,293,0,0
728505,292,293,293,290,0,0
728710,290,291,291,288,0,0
728913,293,294,294,291,0,0
729118,295,296,296,293,0,0
729322,293,294,294,291,0,0
729527,291,291,291,288,0,0
DATA CAPTURED Sat Oct 21 02:32:51 2017
Time (ms),P1(0-1024),P2(0-1024),P3(0-1024),P4(0-1024),T1,T2
781815,295,296,296,293,0,0
782019,293,294,294,291,0,0
782224,291,292,291,289,0,0
782428,292,294,293,290,0,0
782632,295,296,296,293,0,0
782836,294,295,295,292,0,0
783041,291,292,291,289,0,0
783245,291,292,291,288,0,0
783450,294,296,295,292,0,0
783653,295,296,296,292,0,0
783858,292,293,292,289,0,0
784062,291,292,291,288,0,0
784267,293,295,295,291,0,0
784471,295,296,296,293,0,0
784675,293,294,294,291,0,0
784879,291,292,291,288,0,0
785083,293,294,294,291,0,0
785288,295,296,296,292,0,0
785491,293,294,294,291,0,0
785696,290,290,290,288,0,0
785900,291,292,292,289,0,0
786105,294,295,295,292,0,0
786309,294,295,295,292,0,0
786513,292,292,292,289,0,0
786717,291,292,291,288,0,0
786922,294,296,295,292,0,0
787126,295,296,296,293,0,0
787331,293,294,293,290,0,0
787534,291,292,291,289,0,0
787739,293,294,294,291,0,0
787943,295,297,297,293,0,0
788147,294,295,294,291,0,0
788352,291,292,291,289,0,0
DATA CAPTURED Sat Oct 21 02:34:00 2017
Time (ms),P1(0-1024),P2(0-1024),P3(0-1024),P4(0-1024),T1,T2
851057,291,292,291,288,0,0
851262,293,294,294,291,0,0
851466,295,296,296,293,0,0
851671,294,295,294,291,0,0
851874,291,292,291,289,0,0
852078,292,293,293,290,0,0
852283,295,296,296,293,0,0
852487,294,296,295,292,0,0
852691,291,292,291,289,0,0
852895,291,292,292,289,0,0
853100,294,296,295,292,0,0
853304,295,296,296,293,0,0
853509,292,293,292,290,0,0
853712,291,292,291,289,0,0
853917,293,294,294,291,0,0
854121,295,296,296,292,0,0
854326,293,294,293,290,0,0
854530,291,292,291,288,0,0
DATA CAPTURED Sat Oct 21 02:34:41 2017
Time (ms),P1(0-1024),P2(0-1024),P3(0-1024),P4(0-1024),T1,T2
891295,295,296,296,293,0,0
891500,293,294,293,291,0,0
891704,291,292,291,289,0,0
891908,293,295,295,291,0,0
892112,295,297,297,293,0,0
892316,294,295,295,292,0,0
892521,291,292,292,289,0,0
892725,293,294,294,291,0,0
892930,295,296,297,293,0,0
893133,295,295,295,292,0,0
893338,292,292,292,289,0,0
893542,292,293,293,290,0,0
893747,295,296,296,293,0,0
893950,295,296,296,293,0,0
894155,292,293,292,289,0,0
894359,291,292,292,289,0,0
894564,294,295,296,292,0,0
894768,295,296,296,293,0,0
894972,293,293,293,290,0,0
895176,291,291,291,289,0,0
895380,294,295,295,291,0,0
895585,295,297,297,293,0,0
895789,293,294,294,291,0,0
895993,291,291,291,289,0,0
896197,293,294,294,291,0,0
896402,295,296,297,293,0,0
896606,294,295,295,292,0,0
896811,291,292,291,289,0,0
897014,292,293,293,290,0,0
897219,295,296,296,293,0,0
897423,295,296,296,292,0,0
897628,292,292,292,289,0,0
897831,291,292,292,289,0,0
898036,294,296,296,292,0,0
898240,295,296,296,293,0,0
898444,292,293,292,290,0,0
898649,291,292,292,289,0,0
898852,294,295,295,292,0,0
899057,295,296,296,293,0,0
899261,293,294,293,291,0,0
899466,291,292,291,289,0,0
899670,293,295,295,291,0,0
899874,295,297,297,293,0,0
900078,294,294,294,291,0,0
900283,291,292,292,289,0,0
900487,293,294,294,291,0,0
900691,295,297,297,293,0,0
900895,294,295,295,292,0,0
901100,291,292,292,289,0,0
901304,292,293,293,290,0,0
